epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.772,0.53169,7.13243,1.00445,0.04766,0.25422,0.04446,0.04379,0.21288,6.20774,0.8102,4.27429e-05,4.27429e-05,4.27429e-05
2,366.318,0.39654,4.14077,0.92395,0.61063,0.18841,0.2135,0.21054,0.23676,2.75748,0.80275,8.47911e-05,8.47911e-05,8.47911e-05
3,525.794,0.37388,3.27418,0.90623,0.49139,0.36138,0.41391,0.40182,0.26943,2.09992,0.8155,0.000124859,0.000124859,0.000124859
4,709.249,0.36986,2.66891,0.88799,0.51237,0.51636,0.59338,0.57617,0.25038,1.54081,0.81597,0.00012309,0.00012309,0.00012309
5,865.8,0.35179,2.17228,0.87743,0.58418,0.68228,0.69381,0.68146,0.24314,1.33778,0.81121,0.00012012,0.00012012,0.00012012
6,1041.22,0.34392,1.93398,0.85704,0.68182,0.68073,0.7628,0.74284,0.25233,1.2193,0.82566,0.00011715,0.00011715,0.00011715
7,1198.75,0.3498,1.56663,0.89046,0.70716,0.74424,0.82057,0.80762,0.2297,1.02114,0.81398,0.00011418,0.00011418,0.00011418
8,1363.84,0.35092,1.46533,0.8957,0.80491,0.73399,0.85709,0.84296,0.22339,0.87805,0.81892,0.00011121,0.00011121,0.00011121
9,1529.24,0.32499,1.30797,0.88048,0.6981,0.82001,0.87698,0.86336,0.21154,0.84254,0.80539,0.00010824,0.00010824,0.00010824
10,1710.63,0.31953,1.24094,0.86889,0.77119,0.82335,0.87609,0.86414,0.203,0.85187,0.79217,0.00010527,0.00010527,0.00010527
11,1899.27,0.30306,1.10391,0.8552,0.76875,0.8034,0.88093,0.87034,0.20898,0.77112,0.80621,0.0001023,0.0001023,0.0001023
12,2074.11,0.29901,1.02167,0.8571,0.78102,0.86931,0.90512,0.89361,0.19273,0.65572,0.78521,9.933e-05,9.933e-05,9.933e-05
13,2231.92,0.29708,0.99085,0.85363,0.85187,0.85611,0.92182,0.91628,0.18102,0.57358,0.77796,9.636e-05,9.636e-05,9.636e-05
14,2393.56,0.28623,0.98525,0.85328,0.83604,0.77718,0.89486,0.88503,0.18337,0.74228,0.77948,9.339e-05,9.339e-05,9.339e-05
15,2547.74,0.27592,0.85937,0.84642,0.78046,0.9119,0.93229,0.92425,0.17036,0.53371,0.78159,9.042e-05,9.042e-05,9.042e-05
16,2702.41,0.28004,0.83966,0.84898,0.89031,0.87671,0.95553,0.94714,0.17603,0.46857,0.77514,8.745e-05,8.745e-05,8.745e-05
17,2856.69,0.28612,0.7638,0.8611,0.85964,0.90008,0.955,0.94493,0.17331,0.49042,0.77449,8.448e-05,8.448e-05,8.448e-05
18,3007.8,0.27931,0.80612,0.84228,0.86378,0.93399,0.96325,0.95492,0.1676,0.45985,0.77259,8.151e-05,8.151e-05,8.151e-05
19,3157.08,0.2707,0.75772,0.85072,0.89165,0.89948,0.9598,0.9526,0.16371,0.41845,0.77103,7.854e-05,7.854e-05,7.854e-05
20,3317.1,0.26406,0.69189,0.83821,0.89952,0.90227,0.96924,0.96483,0.15914,0.40071,0.7705,7.557e-05,7.557e-05,7.557e-05
21,3476.38,0.26715,0.66572,0.84952,0.88668,0.86809,0.94133,0.93571,0.16875,0.50861,0.77242,7.26e-05,7.26e-05,7.26e-05
22,3635.51,0.26257,0.62893,0.84659,0.90212,0.9472,0.97196,0.9682,0.15704,0.34589,0.77036,6.963e-05,6.963e-05,6.963e-05
23,3785.07,0.25354,0.57521,0.83636,0.92844,0.92074,0.97955,0.97226,0.1559,0.33198,0.76871,6.666e-05,6.666e-05,6.666e-05
24,3929.5,0.25311,0.60541,0.83908,0.86818,0.92185,0.96085,0.95673,0.15929,0.45872,0.76768,6.369e-05,6.369e-05,6.369e-05
25,4079.34,0.26553,0.54006,0.8518,0.93036,0.90686,0.97026,0.96464,0.16163,0.3807,0.77014,6.072e-05,6.072e-05,6.072e-05
26,4237.66,0.28397,0.64082,0.88168,0.91532,0.93924,0.97716,0.97332,0.15214,0.37013,0.76821,5.775e-05,5.775e-05,5.775e-05
27,4393.78,0.24934,0.49934,0.83892,0.93052,0.9274,0.97647,0.97305,0.15171,0.31609,0.76651,5.478e-05,5.478e-05,5.478e-05
28,4553.62,0.25344,0.50507,0.83515,0.93913,0.93559,0.98328,0.97996,0.14797,0.29729,0.76715,5.181e-05,5.181e-05,5.181e-05
29,4698.26,0.24214,0.50037,0.84254,0.92647,0.94039,0.97819,0.97543,0.14622,0.32766,0.76746,4.884e-05,4.884e-05,4.884e-05
30,4852.95,0.22374,0.44425,0.81246,0.92471,0.94598,0.98076,0.97777,0.14548,0.32084,0.767,4.587e-05,4.587e-05,4.587e-05
